"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON","1/23/2023 4:23 PM","6640829","Amazon Seller Central - US","15MIS_K-CAX-0029","1","","MISHONM - McDonough","Amazon Merchants@","Prime NextDay"
"BW - MISHON","1/23/2023 4:23 PM","6640762","Amazon Seller Central - US","15MIS_C-CBL-0395","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:24 PM","6640830","Amazon Seller Central - US","15MIS_C-CCH-0108_MPK3","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime NextDay"
"BW - MISHON","1/23/2023 4:24 PM","6640731","eBay Motors Fixed Price US","15KIT_MK1003283","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 4:25 PM","6640763","Amazon Seller Central - US","15MIS_C-RSA-0001","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:27 PM","6640764","Amazon Seller Central - US","15MIS_K-RDA-0001","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 4:27 PM","6640983","Walmart Canada","15MIS_C-CCH-0051_MPK3","1","","MISHON - New Dundee","WalmartCA","Standard"
"BW - MISHON","1/23/2023 4:27 PM","6640765","Amazon Seller Central - US","15MIS_C-BLD-0014_MPK2","2","","MISHONC - Chesterfield","Amazon Merchants@","Prime SecondDay"
"BW - MISHON","1/23/2023 4:28 PM","6640766","Amazon Seller Central - US","15KIT_MK1002946","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:29 PM","6640809","Amazon Seller Central - US","15MIS_C-BLD-0172_MPK3","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:30 PM","6640749","eBay Motors Fixed Price US","15MIS_C-SMO-0033","1","","MISHONM - McDonough","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 4:30 PM","6640767","Amazon Seller Central - US","15KIT_MK1007520","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime NextDay"
"BW - MISHON","1/23/2023 4:32 PM","6640768","Amazon Seller Central - US","15MIS_C-DSP-0067","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 4:33 PM","6640895","Amazon Seller Central - CA","15MIS_K-CAX-0155","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 4:33 PM","6640807","Amazon Seller Central - US","15MIS_C-DCH-0141","1","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:35 PM","6640811","Amazon Seller Central - US","15MIS_C-CCH-0005_MPK2","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime SecondDay"
"BW - MISHON","1/23/2023 4:35 PM","6640813","Amazon Seller Central - US","15KIT_MK1000947","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime Standard"
"BW - MISHON","1/23/2023 4:36 PM","6640808","Amazon Seller Central - US","15MIS_C-SMO-0014","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:36 PM","6640810","Amazon Seller Central - US","15MIS_C-BLT-0120","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
